,essay_set,domain1_score,new_score,score_LDA,score_LSA,score_HDP,score_bert
0,7,15.0,3.317572832107544,23.960067305283953,0.19843940641499191,20.411510024199252,13.906190872192383
1,7,13.0,6.287053108215332,23.96386359479275,0.8354942609367146,20.40925056125662,16.386571884155273
2,7,15.0,4.156755447387695,23.77032460969255,1.368094059577841,20.41249756491215,14.84949016571045
3,7,17.0,9.058608055114746,2.2944417745922703,3.976850440313256,20.4103813207211,18.671974182128906
4,7,13.0,3.550708293914795,23.60497287218793,1.1317031097036145,20.410192566450046,17.198704719543457
5,7,23.0,5.650132656097412,23.86146269537626,0.4212852491505097,20.41612856565308,19.14277982711792
6,7,16.0,2.1800661087036133,23.98451177225231,1.6509529787144528,20.412142841919483,14.443954467773438
7,7,18.0,2.8200290203094482,23.94348078969571,0.22812660613779379,20.414583424000533,17.624796867370605
8,7,12.0,3.7338101863861084,10.680402121694787,0.2419791170816108,20.41230632538177,17.837448120117188
9,7,10.0,2.1559903621673584,23.996300208495065,2.8332720062281184e-15,5.421181028227661,12.901433944702148
10,7,16.0,5.451599597930908,22.200458732237696,0.6645577150900546,12.78817258997956,15.662886142730713
11,7,19.0,2.6682965755462646,23.989681928826872,-9.600620611055761e-15,13.649616066207207,14.372071266174316
12,7,17.0,7.8508501052856445,23.985211129206146,5.160912995396975,8.851141867926167,18.107474327087402
13,7,14.0,3.3805489540100098,23.41052336320942,4.63543647610207e-15,20.41137594328103,17.36194896697998
14,7,12.0,7.514280796051025,1.5773416297712433,0.20992812843201447,12.289152295746145,11.23776626586914
15,7,16.0,4.952043056488037,23.995933161173735,7.030344291553447e-15,20.413761094257264,17.04197359085083
16,7,17.0,4.067037582397461,23.99612138317353,0.2664022598495981,20.413418759273853,16.365408897399902
17,7,16.0,2.384969711303711,23.994948052673017,0.5487032138936594,20.41269267016393,13.840234279632568
18,7,21.0,1.9422680139541626,23.97227714231691,0.17742299776340342,20.414753654054905,14.87647533416748
19,7,14.0,3.8047292232513428,23.534986099139005,2.304856071202246,20.40987224469567,15.864137649536133
20,7,18.0,7.525411605834961,23.957026316808072,0.6550368561503261,20.41195785423126,16.421916961669922
21,7,24.0,5.002094268798828,23.948032105942502,0.8345148511313694,12.060715797956576,16.919089794158936
22,7,17.0,6.0921735763549805,23.992276956917124,0.4073821987416837,20.409536011156444,17.86549186706543
23,7,16.0,2.349235773086548,23.984192609064287,0.18736820831955514,20.413453646560335,14.846533298492432
24,7,16.0,6.084227085113525,23.463495965073285,0.24188790377901048,20.40897645481935,15.776537418365479
25,7,9.0,-0.6022952198982239,23.8127093039072,0.20992812843201714,20.412397820043545,13.891781330108643
26,7,6.0,1.5937142372131348,4.53443430199411,3.8904928433946556e-15,20.411982554212393,5.8863959312438965
27,7,10.0,9.155610084533691,23.99533437313146,1.6998207183663725,20.408078148673255,17.637306690216064
28,7,17.0,5.3461713790893555,18.919406629995404,0.20815785352361482,20.415512052480118,17.368054389953613
29,7,16.0,2.992859363555908,20.787740356508735,-4.395876198410192e-15,20.411555760130913,17.733964920043945
30,7,15.0,4.964131832122803,23.988802940873665,-1.7704724265537354e-16,20.41479387597085,15.57136058807373
31,7,11.0,2.368967056274414,23.9979679557182,1.1352716880287092e-14,20.414396888037107,16.497699737548828
32,7,19.0,6.277557373046875,23.999310602190814,0.33219598468968314,20.413300919660447,16.35029411315918
33,7,24.0,3.3646724224090576,23.94554625623292,0.13226029455353006,20.410130181237243,14.412704944610596
34,7,18.0,6.310152053833008,23.847456292186113,0.5861530648378825,20.413157907510115,14.304111957550049
35,7,16.0,5.609865188598633,23.999249325344778,1.4881739126064306,20.41392164570821,19.526759147644043
36,7,20.0,3.9704747200012207,23.24313773633563,0.5799751495822658,20.411010451521154,15.827510833740234
